Complete_SciLifeID;SciLifeID;Number;Complete_number;Alternative_number;ID;Biol_repl_ID;Sex;Type;Sampling;Tree;Batch
A11_S3_L001;A11;S3;S3_L001;;TA1b-10-18;TA-10-18;T;A;18-Oct;1;4
A12_S12_L001;A12;S12;S12_L001;;TA1c-10-18;TA-10-18;T;A;18-Oct;1;3
A13_S13_L001;A13;S13;S13_L001;;FA1a-08-01;FA-08-01;F;A;01-Aug;1;3
A14_S14_L002;A14;S14;S14_L002;;FA1b-08-01;FA-08-01;F;A;01-Aug;1;3
A14_S4_L001;A14;S4;S4_L001;;FA1b-08-01;FA-08-01;F;A;01-Aug;1;4
A15_S15_L002;A15;S15;S15_L002;;FA1c-08-01;FA-08-01;F;A;01-Aug;1;3
A16_S16_L002;A16;S16;S16_L002;;F1a-08-19;F-08-19;F;WT;19-Aug;1;3
A16_S5_L001;A16;S5;S5_L001;;F1a-08-19;F-08-19;F;WT;19-Aug;1;4
A17_S1_L001;A17;S1;S1_L001;;F1b-08-19;F-08-19;F;WT;19-Aug;1;4
A18_S18_L002;A18;S18;S18_L002;;F1c-08-19;F-08-19;F;WT;19-Aug;1;3
A19_S19_L002;A19;S19;S19_L002;;VL1a-08-19;VL-08-19;VL;WT;19-Aug;1;3
A20_S20_L002;A20;S20;S20_L002;;VL1b-08-19;VL-08-19;VL;WT;19-Aug;1;3
A21_S21_L002;A21;S21;S21_L002;;VL1c-08-19;VL-08-19;VL;WT;19-Aug;1;3
A22_S22_L002;A22;S22;S22_L002;;F1a-09-16;F-09-16;F;WT;16-Sep;1;3
A23_S23_L002;A23;S23;S23_L002;;F1b-09-16;F-09-16;F;WT;16-Sep;1;3
A24_S24_L002;A24;S24;S24_L002;;F1c-09-16;F-09-16;F;WT;16-Sep;1;3
A24_S6_L001;A24;S6;S6_L001;;F1c-09-16;F-09-16;F;WT;16-Sep;1;4
A25_S25_L002;A25;S25;S25_L002;;VL1a-09-16;VL-09-16;VL;WT;16-Sep;1;3
A26_S26_L003;A26;S26;S26_L003;;VL1b-09-16;VL-09-16;VL;WT;16-Sep;1;3
A28_S27_L003;A28;S27;S27_L003;;FA1a-10-18;FA-10-18;F;A;18-Oct;1;3
A29_S28_L003;A29;S28;S28_L003;;FA1b-10-18;FA-10-18;F;A;18-Oct;1;3
A30_S29_L003;A30;S29;S29_L003;;FA1c-10-18;FA-10-18;F;A;18-Oct;1;3
A34_S30_L003;A34;S30;S30_L003;;VL1a-10-25;VL-10-25;VL;WT;25-Oct;1;3
A35_S31_L003;A35;S31;S31_L003;;VL1b-10-25;VL-10-25;VL;WT;25-Oct;1;3
A36_S32_L003;A36;S32;S32_L003;;VL1c-10-25;VL-10-25;VL;WT;25-Oct;1;3
A37_S33_L003;A37;S33;S33_L003;;F1d-08-01;F-08-01;F;WT;01-Aug;1;3
A38_S34_L003;A38;S34;S34_L003;;VL1d-08-01;VL-08-01;VL;WT;01-Aug;1;3
A40_S4_L001;A40;S4;S4_L001;;M1a-08-01;M-08-01;M;WT;01-Aug;1;4
A41_S5_L001;A41;S5;S5_L001;;M1b-08-01;M-08-01;M;WT;01-Aug;1;4
A43_S6_L001;A43;S6;S6_L001;;M1c-08-01;M-08-01;M;WT;01-Aug;1;4
A43_S8_L001;A43;S8;S8_L001;;M1c-08-01;M-08-01;M;WT;01-Aug;1;4
B23_S35_L003;B23;S35;S35_L003;;M8-04-29;M-04-29;M;WT;29-Apr;8;3
B24_S36_L003;B24;S36;S36_L003;;F8-04-29;F-04-29;F;WT;29-Apr;8;3
B24_S7_L001;B24;S7;S7_L001;;F8-04-29;F-04-29;F;WT;29-Apr;8;4
B8_S2_L001;B8;S2;S2_L001;;V8-04-29;V-04-29;V;WT;29-Apr;8;4
B26_S37_L003;B26;S37;S37_L003;;M9-04-29;M-04-29;M;WT;29-Apr;9;3
B22_S3_L001;B22;S3;S3_L001;;F9-04-29;F-04-29;F;WT;29-Apr;9;4
B5_S38_L004;B5;S38;S38_L004;;V9-04-29;V-04-29;V;WT;29-Apr;9;3
B36_S39_L004;B36;S39;S39_L004;;O8-06-11;O-06-11;O;WT;11-Jun;8;3
B37_S40_L004;B37;S40;S40_L004;;S8-06-11;S-06-11;S;WT;11-Jun;8;3
B38_S41_L004;B38;S41;S41_L004;;O9-06-11;O-06-11;O;WT;11-Jun;9;3
B39_S42_L004;B39;S42;S42_L004;;S9-06-11;S-06-11;S;WT;11-Jun;9;3
B41_S43_L004;B41;S43;S43_L004;;P8-05-12;P-05-12;P;WT;12-May;8;3
B42_S44_L004;B42;S44;S44_L004;;P9-05-12;P-05-12;P;WT;12-May;9;3
B32_S45_L004;B32;S45;S45_L004;;M8-04-10;M-04-10;M;WT;10-Apr;8;3
B30_S46_L004;B30;S46;S46_L004;;F8-04-10;F-04-10;F;WT;10-Apr;8;3
B51_S47_L004;B51;S47;S47_L004;;V8-04-10;V-04-10;V;WT;10-Apr;8;3
B28_S48_L004;B28;S48;S48_L004;;M9-04-10;M-04-10;M;WT;10-Apr;9;3
B27_S49_L004;B27;S49;S49_L004;;F9-04-10;F-04-10;F;WT;10-Apr;9;3
B7_S17_L002;B7;S17;S17_L002;;V9-04-10;V-04-10;V;WT;10-Apr;9;3
totRNA-14_S8_L001;totRNA-14;S8;S8_L001;;F3-08-18;F-08-18;F;WT;18-Aug;3;4
totRNA-18_S9_L001;totRNA-18;S9;S9_L001;;V3-08-18;V-08-18;V;WT;18-Aug;3;4
totRNA-47_S7_L001;totRNA-47;S7;S7_L001;;M1-08-18;M-08-18;M;WT;18-Aug;1;4
totRNA-48_S10_L001;totRNA-48;S10;S10_L001;;F7-04-29;F-04-29;F;WT;29-Apr;7;4
totRNA-48_S9_L001;totRNA-48;S9;S9_L001;;F7-04-29;F-04-29;F;WT;29-Apr;7;4
totRNA-49_S11_L001;totRNA-49;S11;S11_L001;;F1-04-10;F-04-10;F;WT;10-Apr;1;4
totRNA-50_S12_L001;totRNA-50;S12;S12_L001;;V1-04-10;V-04-10;V;WT;10-Apr;1;4
